"","Date","Actual","Predicted"
"1",2014-01-02,15.5,15.4203340843305
"2",2014-01-03,15.5,13.5020264076455
"3",2014-01-03,15.5,13.5020264076455
"4",2014-01-06,15.5,13.2846683550082
"5",2014-01-06,15.5,13.2846683550082
"6",2014-01-07,13,8.06664583892373
"7",2014-01-07,15,8.24828004418289
"8",2014-01-07,13,8.06664583892373
"9",2014-01-08,12,7.59085123038948
"10",2014-01-09,12,7.59680638709688
"11",2014-01-10,12,7.31625645973513
"12",2014-01-13,12,7.2315305903999
"13",2014-01-13,12,7.2315305903999
"14",2014-01-14,11,8.91059105557145
"15",2014-01-16,13,7.30125388220074
"16",2014-01-16,11,8.94849275743159
"17",2014-01-17,11,9.83081016931839
"18",2014-01-17,11,9.83081016931839
"19",2014-01-20,11,9.84036978046322
"20",2014-01-20,9,11.9810277306301
"21",2014-01-20,11,9.84036978046322
"22",2014-01-21,9,7.89487653734198
"23",2014-01-21,13,7.56107080114892
"24",2014-01-22,9,8.21482561243864
"25",2014-01-22,8,8.40796943107203
"26",2014-01-22,10,7.54509014693793
"27",2014-01-23,9,8.06062524535309
"28",2014-01-23,8,7.90083175179865
"29",2014-01-23,10,7.5678459039542
"30",2014-01-24,10,7.28634040379839
"31",2014-01-24,9,7.72210567358818
"32",2014-01-27,9,7.82867045891119
"33",2014-01-27,8,7.18249988533996
"34",2014-01-27,10,7.28854593969776
"35",2014-01-28,9,6.31828846074667
"36",2014-01-28,12,6.41744179608785
"37",2014-01-29,9,7.51233874716901
"38",2014-01-29,12,8.63835452398199
"39",2014-01-30,10.5,7.96073289562375
"40",2014-01-30,9,8.52607604596755
"41",2014-01-30,12,11.8612396001979
"42",2014-01-31,10.5,8.40906589610018
"43",2014-01-31,12,10.9347430043596
"44",2014-02-04,12,6.83035396002346
"45",2014-02-05,14,7.10944295759476
"46",2014-02-05,16,6.68722524469723
"47",2014-02-06,15,7.09312200544914
"48",2014-02-06,14,6.60618843781501
"49",2014-02-06,16,6.72107021992997
"50",2014-02-07,14,7.07873477431876
"51",2014-02-07,15,6.70283521455878
"52",2014-02-10,14,7.07601368527625
"53",2014-02-10,13,6.6040563359163
"54",2014-02-10,15,6.70131166150647
"55",2014-02-11,15,7.5256652492825
"56",2014-02-11,14,6.88390977005791
"57",2014-02-11,16,6.72780781851945
"58",2014-02-12,14,6.87199070645421
"59",2014-02-12,16,6.76534843981649
"60",2014-02-13,14,6.89823438353371
"61",2014-02-13,16,6.75014032983548
"62",2014-02-14,15,6.77359934392294
"63",2014-02-17,14,7.59989860432136
"64",2014-02-17,13,7.36016199781712
"65",2014-02-18,11,7.80703451142056
"66",2014-02-18,14,6.69888595886838
"67",2014-02-19,11,7.10249948903968
"68",2014-02-19,14,6.88584098810727
"69",2014-02-20,11,6.69945435131916
"70",2014-02-20,14,6.9032711928216
"71",2014-02-21,11,6.27760372819754
"72",2014-02-21,14,7.0100904603545
"73",2014-02-24,11,6.28744791307559
"74",2014-02-24,14,7.01642152291674
"75",2014-02-25,12,6.840905005668
"76",2014-02-25,14,7.9084720434424
"77",2014-02-26,12,9.26839453060681
"78",2014-02-26,14,9.08973073348121
"79",2014-02-27,12,11.1445805579681
"80",2014-02-27,14,10.4282944230099
"81",2014-02-28,11,11.1424344343718
"82",2014-02-28,13,10.4322844607643
"83",2014-03-03,11,9.19633945194351
"84",2014-03-03,13,9.44027643257463
"85",2014-03-04,12,11.5117995988201
"86",2014-03-04,12,11.5117995988201
"87",2014-03-05,12,8.2308416946218
"88",2014-03-05,12,8.2308416946218
"89",2014-03-06,12,8.23232549011576
"90",2014-03-06,12,8.23232549011576
"91",2014-03-07,12,9.22078914127437
"92",2014-03-07,12,9.22078914127437
"93",2014-03-10,12,7.35076927872507
"94",2014-03-10,12,7.35076927872507
"95",2014-03-11,12,7.40483763866788
"96",2014-03-11,12,7.40483763866788
"97",2014-03-12,12,8.06950933499186
"98",2014-03-12,12,8.06950933499186
"99",2014-03-13,12,8.06760134601694
"100",2014-03-13,12,8.06760134601694
"101",2014-03-14,11,8.5648067809933
"102",2014-03-14,11,8.5648067809933
"103",2014-03-18,11,8.93407161306569
"104",2014-03-19,9,8.90129004002469
"105",2014-03-19,9,8.90129004002469
"106",2014-03-20,9,8.23195290855972
"107",2014-03-20,9,8.23195290855972
"108",2014-03-21,9,7.27418841111765
"109",2014-03-21,9,7.27418841111765
"110",2014-03-24,9,7.27350046580148
"111",2014-03-24,9,7.27350046580148
"112",2014-03-24,9,7.27350046580148
"113",2014-03-25,5,7.31082067539015
"114",2014-03-25,5,7.31082067539015
"115",2014-03-26,5,5.14893962204896
"116",2014-03-26,5,5.14893962204896
"117",2014-03-26,5,5.14893962204896
"118",2014-03-27,5,5.13878756942205
"119",2014-03-27,5,5.13878756942205
"120",2014-03-27,5,5.13878756942205
"121",2014-03-31,5,6.66913888335615
"122",2014-03-31,5,6.66913888335615
"123",2014-04-01,4.5,7.25220981884835
"124",2014-04-02,4.5,7.02478451242902
"125",2014-04-02,4.5,7.02478451242902
"126",2014-04-02,4.5,7.02478451242902
"127",2014-04-03,4.5,7.02846897643235
"128",2014-04-03,4.5,7.02846897643235
"129",2014-04-07,4,7.0969762482358
"130",2014-04-07,4,7.0969762482358
"131",2014-04-08,3,7.16607130360823
"132",2014-04-08,3,7.16607130360823
"133",2014-04-09,3,7.16436011152569
"134",2014-04-09,3,7.16436011152569
"135",2014-04-09,3,7.16436011152569
"136",2014-04-09,3,7.16436011152569
"137",2014-04-10,3,7.16251269867467
"138",2014-04-10,3,7.16251269867467
