STATION,STATION_NAME,DATE,PRCP,TAVG,TMAX,TMIN,State
GHCND:MX000017004,CUERNAVACA MX,20170327,0.0,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110214,0.0,25.2,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110216,0.0,25.2,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20120314,0.0,25.2,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130731,0.0,25.2,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140424,0.3,25.2,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150306,0.0,25.2,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150320,0.0,25.2,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150610,0.0,25.2,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150621,0.0,25.2,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150806,0.0,25.2,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20151009,0.0,25.2,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20151025,0.0,25.2,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20151116,0.0,25.2,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20160319,0.0,25.2,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20161211,0.0,25.2,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110121,0.0,25.3,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110308,0.0,25.3,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110317,0.0,25.3,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110706,4.1,25.3,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130610,0.0,25.3,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140225,0.0,25.3,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140514,6.9,25.3,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150305,0.0,25.3,31.4,15.4,Morelos
