STATION,STATION_NAME,DATE,PRCP,TAVG,TMAX,TMIN,State
GHCND:MXM00076423,DURANGO DGO. MX,20150730,3.0,21.4,31.5,13.6,Durango
GHCND:MXM00076423,DURANGO DGO. MX,20160806,0.0,21.4,31.5,14.3,Durango
GHCND:MX000076577,GUANAJUATO MX,20110710,0.0,21.4,31.5,14.5,Guanajuato
GHCND:MX000076577,GUANAJUATO MX,20130406,0.0,21.4,31.5,12.2,Guanajuato
GHCND:MX000016144,ZAMORA MX,20140315,0.0,21.4,31.5,9.0,Michoacan
GHCND:MXM00076762,CHILPANCINGO RO. MX,20130226,0.0,21.5,31.5,16.0,Guerrero
GHCND:MXM00076258,CIUDAD OBREGON SON. MX,20141120,0.0,21.5,31.5,11.0,Sonora
GHCND:MXM00076423,DURANGO DGO. MX,20130805,0.0,21.6,31.5,14.0,Durango
GHCND:MX000076577,GUANAJUATO MX,20140802,0.0,21.6,31.5,13.1,Guanajuato
GHCND:MX000016144,ZAMORA MX,20110817,4.1,21.6,31.5,14.2,Michoacan
GHCND:MXM00076423,DURANGO DGO. MX,20130819,0.0,21.7,31.5,13.0,Durango
GHCND:MXM00076762,CHILPANCINGO RO. MX,20140127,0.0,21.7,31.5,12.8,Guerrero
GHCND:MXM00076762,CHILPANCINGO RO. MX,20141109,0.0,21.7,31.5,16.1,Guerrero
GHCND:MXM00076762,CHILPANCINGO RO. MX,20161226,0.0,21.7,31.5,11.2,Guerrero
GHCND:MXM00076423,DURANGO DGO. MX,20120302,0.0,21.8,31.5,8.2,Durango
GHCND:MX000076577,GUANAJUATO MX,20140402,0.0,21.8,31.5,11.8,Guanajuato
GHCND:MX000016144,ZAMORA MX,20150810,7.6,21.8,31.5,15.0,Michoacan
GHCND:MXM00076581,RIO VERDE S.L.P. MX,20110319,0.0,21.8,31.5,12.9,San Luis Potosi
GHCND:MXM00076471,SOMBRERETE ZAC. MX,20120508,0.0,21.8,31.5,9.2,Zacatecas
GHCND:MXM00076423,DURANGO DGO. MX,20140509,0.0,21.9,31.5,13.0,Durango
GHCND:MXM00076762,CHILPANCINGO RO. MX,20131203,0.0,21.9,31.5,12.4,Guerrero
GHCND:MXM00076762,CHILPANCINGO RO. MX,20160307,0.0,21.9,31.5,15.8,Guerrero
GHCND:MX000016144,ZAMORA MX,20121015,0.0,21.9,31.5,16.0,Michoacan
GHCND:MX000016144,ZAMORA MX,20140724,0.0,21.9,31.5,13.0,Michoacan
GHCND:MXM00076581,RIO VERDE S.L.P. MX,20140709,0.0,21.9,31.5,18.9,San Luis Potosi
GHCND:MXM00076762,CHILPANCINGO RO. MX,20150117,0.0,22.0,31.5,14.9,Guerrero
GHCND:MXM00076762,CHILPANCINGO RO. MX,20161017,0.0,22.0,31.5,16.9,Guerrero
