Date,Origin,Destiny,MinPrice,MaxPrice,MeanPrice
2/10/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
2/13/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
2/13/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
2/14/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
2/15/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
2/15/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
2/16/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
2/16/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.5,6,6
2/17/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
2/17/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.5,6,6
2/20/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
2/20/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.5,6,6
2/21/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
2/21/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.5,6,6
2/22/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
2/22/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.5,6,6
2/23/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
2/23/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.5,6,6
2/24/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
2/24/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.5,6,6
2/27/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.5,6,6
2/28/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
2/28/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5.5,6,6
2/29/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5,5.5,5.5
2/29/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/1/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5,5.5,5.5
3/1/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/2/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5,5.5,5.5
3/2/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/5/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,5,5.5,5.5
3/5/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/6/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/6/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/7/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/7/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/8/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/8/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/9/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/9/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/12/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/12/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/13/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/13/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/14/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/14/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/15/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/15/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/16/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/16/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/20/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/20/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/21/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/21/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/22/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/22/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/23/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/23/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/26/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/26/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/27/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/27/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
