"","Date","Mean_daily_price","Mean_daily_forecast","Avg_next_28","Model_sale","Value","Best_sale","Best_value"
"623",2015-09-15,9.5,7.04121356194473,10.7321428571429,11,0.267857142857142,13.5,2.76785714285714
"624",2015-09-16,9.5,7.04121356194473,10.8392857142857,11,0.160714285714286,13.5,2.66071428571429
"625",2015-09-17,9.5,6.91040120308886,10.9464285714286,11,0.0535714285714288,13.5,2.55357142857143
"626",2015-09-18,9.5,6.9055655422954,11.0535714285714,11,-0.0535714285714288,13.5,2.44642857142857
"627",2015-09-19,9.5,6.9055655422954,11.1607142857143,11,-0.160714285714286,13.5,2.33928571428571
"628",2015-09-20,9.5,6.9055655422954,11.2678571428571,11,-0.267857142857142,13.5,2.23214285714286
"629",2015-09-21,9.5,7.46022953191796,11.375,11,-0.375,13.5,2.125
"630",2015-09-22,9,7.08252149655936,11.5,11,-0.5,13.5,2
"631",2015-09-23,9,7.08380724906099,11.5178571428571,11,-0.517857142857142,13.5,1.98214285714286
"632",2015-09-24,9,7.08448005408828,11.5357142857143,11,-0.535714285714286,13.5,1.96428571428571
"633",2015-09-25,10,7.05420996813771,11.5178571428571,11,-0.517857142857142,13.5,1.98214285714286
"634",2015-09-26,10,7.05420996813771,11.5,11,-0.5,13.5,2
"635",2015-09-27,10,7.05420996813771,11.4821428571429,11,-0.482142857142858,13.5,2.01785714285714
"636",2015-09-28,10,6.98053331230962,11.4642857142857,11,-0.464285714285714,13.5,2.03571428571429
"637",2015-09-29,11,8.28394224644815,11.5535714285714,11,-0.553571428571429,13.5,1.94642857142857
"638",2015-09-30,11,8.28343277981206,11.6428571428571,11,-0.642857142857142,13.5,1.85714285714286
"639",2015-10-01,11,10.8606957083421,11.7321428571429,11,-0.732142857142858,13.5,1.76785714285714
"640",2015-10-02,11,11.2219928710018,11.7857142857143,11,-0.785714285714286,13.5,1.71428571428571
"641",2015-10-03,11,11.2219928710018,11.8392857142857,11,-0.839285714285714,13.5,1.66071428571429
"642",2015-10-04,11,11.2219928710018,11.8928571428571,11,-0.892857142857142,13.5,1.60714285714286
"643",2015-10-05,11,11.1156214842455,11.9464285714286,13.5,1.55357142857143,13.5,1.55357142857143
"644",2015-10-06,11,9.25882521437026,12,12.5,0.5,13.5,1.5
"645",2015-10-07,11,9.78948721060684,12.0178571428571,12.5,0.482142857142858,13.5,1.48214285714286
"646",2015-10-08,11,9.81535011422456,12.0357142857143,12.5,0.464285714285714,13.5,1.46428571428571
"647",2015-10-09,13.5,10.4716858234159,11.9642857142857,12.5,0.535714285714286,13.5,1.53571428571429
"648",2015-10-10,13.5,10.4716858234159,11.8928571428571,12.5,0.607142857142858,13.5,1.60714285714286
"649",2015-10-11,13.5,10.4716858234159,11.8214285714286,12.5,0.678571428571429,13.5,1.67857142857143
"650",2015-10-12,13.5,10.5466706291078,11.75,12.5,0.75,13.5,1.75
"651",2015-10-13,12.5,9.82360254597426,11.6785714285714,12.5,0.821428571428571,13.5,1.82142857142857
"652",2015-10-14,12.5,9.51430357841304,11.6071428571429,12.5,0.892857142857142,13.5,1.89285714285714
"653",2015-10-15,12.5,9.81461189791097,11.5357142857143,12.5,0.964285714285714,13.5,1.96428571428571
"654",2015-10-16,12.5,9.67912401181728,11.4107142857143,12.5,1.08928571428571,13.5,2.08928571428571
"655",2015-10-17,12.5,9.67912401181728,11.2857142857143,12.5,1.21428571428571,13.5,2.21428571428571
"656",2015-10-18,12.5,9.67912401181728,11.1607142857143,12.5,1.33928571428571,13.5,2.33928571428571
"657",2015-10-19,12.5,9.63810077810533,11.0357142857143,12.5,1.46428571428571,13.5,2.46428571428571
"658",2015-10-20,12.5,7.1544572988229,10.9107142857143,12.5,1.58928571428571,13.5,2.58928571428571
"659",2015-10-21,9.5,7.15451623813303,10.8214285714286,12.5,1.67857142857143,13.5,2.67857142857143
"660",2015-10-22,9.5,7.15448777540447,10.7321428571429,12.5,1.76785714285714,13.5,2.76785714285714
"661",2015-10-23,9.5,7.21142421749341,10.6428571428571,12.5,1.85714285714286,13.5,2.85714285714286
"662",2015-10-24,9.5,7.21142421749341,10.5535714285714,12.5,1.94642857142857,13.5,2.94642857142857
"663",2015-10-25,9.5,7.21142421749341,10.4642857142857,12.5,2.03571428571429,13.5,3.03571428571429
"664",2015-10-26,9.5,7.21360164508966,10.375,12.5,2.125,13.5,3.125
"665",2015-10-27,13.5,8.26923325481821,10.1428571428571,12.5,2.35714285714286,13.5,3.35714285714286
"666",2015-10-28,13.5,8.26835317598535,9.91071428571429,12.5,2.58928571428571,13.5,3.58928571428571
"667",2015-10-29,13.5,8.26792466905755,9.67857142857143,12.5,2.82142857142857,12.5,2.82142857142857
"668",2015-10-30,12.5,8.45290896677081,9.48214285714286,12.5,3.01785714285714,12.5,3.01785714285714
